event_id,device_id,category,label,confidence,confidence_reason,description,source_file,evidence_detail,timestamp
EVT00001,device_01,disk,not_anomaly,90,Comfortably above the low-space caution threshold,Drive C: has healthy free space (34.6% free),05_Disk/Drives_SizeFreeSpace.csv,PercentFree=34.6,
EVT00002,device_01,memory_hardware,not_anomaly,85,No WHEA hardware memory error events were found in the System log,No hardware memory errors detected,06_Memory/WHEA_HardwareMemoryErrors.csv,0 rows,
EVT00003,device_01,cpu_hardware,not_anomaly,85,No CPU hardware error events found,No CPU hardware error events detected,07_CPU/CPU_WHEA_Errors.csv,0 rows,
EVT00004,device_01,cpu_hardware,possible_anomaly,40,200 CPU throttling event(s) present but not at Error/Critical level,CPU throttling present at non-error severity (200 event(s)),07_CPU/CPU_ThrottlingEvents.csv,"{'TimeCreated': '18-08-2026 14:30:45', 'Id': 55, 'LevelDisplayName': 'Information', 'Message': 'Processor 13 in group 0 exposes the following power management capabilities:\r\n\r\nIdle state type: Micro Power Engine Plugin (11 state(s))\r\n\r\nPerformance state type: ACPI Collaborative Processor Performance Control\r\nNominal Frequency (MHz): 700\r\nMaximum performance percentage: 342\r\nMinimum performance percentage: 100\r\nMinimum throttle percentage: 14'}",
EVT00005,device_01,driver_device,anomaly,85,"Config Manager error codes on core hardware are a genuine, high-impact device fault",Device 'Intel(R) Ethernet Connection (24) I219-LM' has error code CM_PROB_FAILED_POST_START,04_HardwareDevices/DevicesWithConfigManagerErrors.csv,"Name=Intel(R) Ethernet Connection (24) I219-LM, Code=CM_PROB_FAILED_POST_START",
EVT00006,device_01,reliability_onset,possible_anomaly,55,A sharp day-over-day drop marks WHEN instability began but doesn't by itself identify WHY — needs correlation with other categories,Stability index dropped from 7.54 to 5.15 on 2026-08-03,09_ReliabilityMonitor/StabilityIndex_DailyScore.csv,"prev=7.54, new=5.15",2026-08-03T08:30:00
EVT00007,device_01,reliability_onset,possible_anomaly,55,A sharp day-over-day drop marks WHEN instability began but doesn't by itself identify WHY — needs correlation with other categories,Stability index dropped from 5.79 to 2.00 on 2026-08-07,09_ReliabilityMonitor/StabilityIndex_DailyScore.csv,"prev=5.79, new=2.00",2026-08-07T17:30:00
EVT00008,device_01,app_stability,anomaly,90,"36 recurring occurrences of the identical crash bucket is a clear repeating pattern, not noise",Recurring 'StoreAgentInstallFailure1' for Update;MoUpdateO (36x),/home/claude/all_devices/Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"36 occurrence(s) of StoreAgentInstallFailure1 for 'Update;MoUpdateO'; first 2026-05-23 08:34:55.717500, last 2026-08-18 04:29:40.851142",2026-05-23T08:34:55.717500
EVT00009,device_01,app_stability,possible_anomaly,50,Only 2 occurrences — could be a repeating issue or could be two unrelated one-off events; not enough volume to be confident,Repeated 'LiveKernelEvent' for 1a8 (2x),/home/claude/all_devices/Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"2 occurrence(s) of LiveKernelEvent for '1a8'; first 2026-06-05 06:02:24.809262, last 2026-07-10 07:30:56.357564",2026-06-05T06:02:24.809262
EVT00010,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'MoAppHang' for Microsoft.Micros,/home/claude/all_devices/Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of MoAppHang for 'Microsoft.Micros'; first 2026-06-22 05:42:09.691290, last 2026-06-22 05:42:09.691290",2026-06-22T05:42:09.691290
