event_id,device_id,category,label,confidence,confidence_reason,description,source_file,evidence_detail,timestamp
EVT00008,device_01,app_stability,anomaly,90,"36 recurring occurrences of the identical crash bucket is a clear repeating pattern, not noise",Recurring 'StoreAgentInstallFailure1' for Update;MoUpdateO (36x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"36 occurrence(s) of StoreAgentInstallFailure1 for 'Update;MoUpdateO'; first 2026-05-23 08:34:55.717500, last 2026-08-18 04:29:40.851142",2026-05-23T08:34:55.717500
EVT00009,device_01,app_stability,possible_anomaly,50,Only 2 occurrences — could be a repeating issue or could be two unrelated one-off events; not enough volume to be confident,Repeated 'LiveKernelEvent' for 1a8 (2x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"2 occurrence(s) of LiveKernelEvent for '1a8'; first 2026-06-05 06:02:24.809262, last 2026-07-10 07:30:56.357564",2026-06-05T06:02:24.809262
EVT00010,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'MoAppHang' for Microsoft.Micros, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of MoAppHang for 'Microsoft.Micros'; first 2026-06-22 05:42:09.691290, last 2026-06-22 05:42:09.691290",2026-06-22T05:42:09.691290
EVT00011,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'APPCRASH' for dwm.exe, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of APPCRASH for 'dwm.exe'; first 2026-08-07 12:53:43.178972, last 2026-08-07 12:53:43.178972",2026-08-07T12:53:43.178972
EVT00012,device_01,app_stability,possible_anomaly,50,Only 2 occurrences — could be a repeating issue or could be two unrelated one-off events; not enough volume to be confident,Repeated 'WindowsWcpOtherFailure3' for 10.0.26100.8456 (2x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"2 occurrence(s) of WindowsWcpOtherFailure3 for '10.0.26100.8456'; first 2026-06-01 04:13:23.552588, last 2026-06-17 04:54:13.719568",2026-06-01T04:13:23.552588
EVT00013,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'StoreAgentSearchUpdatePackagesFailure1' for Acquisition;setu, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of StoreAgentSearchUpdatePackagesFailure1 for 'Acquisition;setu'; first 2026-06-15 04:00:46.304078, last 2026-06-15 04:00:46.304078",2026-06-15T04:00:46.304078
EVT00014,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'AppxDeploymentFailureBlue' for 80004004, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of AppxDeploymentFailureBlue for '80004004'; first 2026-06-16 04:16:38.939122, last 2026-06-16 04:16:38.939122",2026-06-16T04:16:38.939122
EVT00015,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'SQLException64' for sqlservr.exe, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of SQLException64 for 'sqlservr.exe'; first 2026-06-01 03:46:54.188622, last 2026-06-01 03:46:54.188622",2026-06-01T03:46:54.188622
EVT00016,device_01,app_stability,possible_anomaly,50,Only 2 occurrences — could be a repeating issue or could be two unrelated one-off events; not enough volume to be confident,Repeated 'LiveKernelEvent' for 193 (2x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"2 occurrence(s) of LiveKernelEvent for '193'; first 2026-05-27 05:22:22.632058, last 2026-07-28 12:09:43.168538",2026-05-27T05:22:22.632058
EVT00017,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'BEX64' for OneDrive.exe, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of BEX64 for 'OneDrive.exe'; first 2026-06-08 11:31:06.126818, last 2026-06-08 11:31:06.126818",2026-06-08T11:31:06.126818
EVT00018,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'APPCRASH' for SenseTracer.exe, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of APPCRASH for 'SenseTracer.exe'; first 2026-08-07 12:52:24.098158, last 2026-08-07 12:52:24.098158",2026-08-07T12:52:24.098158
EVT00019,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'CLR20r3' for Licensing.Servic, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of CLR20r3 for 'Licensing.Servic'; first 2026-08-07 12:53:43.681044, last 2026-08-07 12:53:43.681044",2026-08-07T12:53:43.681044
EVT00020,device_01,app_stability,possible_anomaly,50,Only 2 occurrences — could be a repeating issue or could be two unrelated one-off events; not enough volume to be confident,Repeated 'WindowsWcpOtherFailure3' for 10.0.26100.8872 (2x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"2 occurrence(s) of WindowsWcpOtherFailure3 for '10.0.26100.8872'; first 2026-07-22 05:49:48.139106, last 2026-08-03 04:18:47.916620",2026-07-22T05:49:48.139106
EVT00021,device_01,app_stability,anomaly,75,"3 occurrences of the same crash bucket for the same process is unlikely to be coincidence, though below the 5x threshold for the highest tier",Recurring 'MoAppHang' for Microsoft.Window (3x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"3 occurrence(s) of MoAppHang for 'Microsoft.Window'; first 2026-06-23 03:31:36.134920, last 2026-07-13 04:09:21.376176",2026-06-23T03:31:36.134920
EVT00022,device_01,app_stability,anomaly,75,"4 occurrences of the same crash bucket for the same process is unlikely to be coincidence, though below the 5x threshold for the highest tier",Recurring 'MoAppHang' for Microsoft.OneDri (4x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"4 occurrence(s) of MoAppHang for 'Microsoft.OneDri'; first 2026-05-26 04:18:04.292006, last 2026-08-06 10:12:30.763738",2026-05-26T04:18:04.292006
EVT00023,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'LiveKernelEvent' for 1b8, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of LiveKernelEvent for '1b8'; first 2026-07-10 07:30:56.355554, last 2026-07-10 07:30:56.355554",2026-07-10T07:30:56.355554
EVT00024,device_01,app_stability,anomaly,90,"7 recurring occurrences of the identical crash bucket is a clear repeating pattern, not noise",Recurring 'crashpad_log' for MicrosoftEdgeUpd (7x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"7 occurrence(s) of crashpad_log for 'MicrosoftEdgeUpd'; first 2026-05-23 06:34:44.886896, last 2026-07-31 04:15:13.120812",2026-05-23T06:34:44.886896
EVT00025,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'MoAppCrash' for Microsoft.Paint, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of MoAppCrash for 'Microsoft.Paint'; first 2026-08-07 12:52:24.254064, last 2026-08-07 12:52:24.254064",2026-08-07T12:52:24.254064
EVT00026,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'APPCRASH' for Explorer.EXE, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of APPCRASH for 'Explorer.EXE'; first 2026-07-20 09:18:36.510774, last 2026-07-20 09:18:36.510774",2026-07-20T09:18:36.510774
EVT00027,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'BEX64' for spksvc.exe, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of BEX64 for 'spksvc.exe'; first 2026-08-07 12:51:58.232258, last 2026-08-07 12:51:58.232258",2026-08-07T12:51:58.232258
EVT00028,device_01,app_stability,anomaly,75,"3 occurrences of the same crash bucket for the same process is unlikely to be coincidence, though below the 5x threshold for the highest tier",Recurring 'OFFICE_MODULE_VERSION_MISMATCH' for POWERPNT.EXE (3x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"3 occurrence(s) of OFFICE_MODULE_VERSION_MISMATCH for 'POWERPNT.EXE'; first 2026-07-10 05:07:44.014420, last 2026-07-29 11:15:28.326408",2026-07-10T05:07:44.014420
EVT00029,device_01,app_stability,possible_anomaly,50,Only 2 occurrences — could be a repeating issue or could be two unrelated one-off events; not enough volume to be confident,Repeated 'APPCRASH' for mmc.exe (2x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"2 occurrence(s) of APPCRASH for 'mmc.exe'; first 2026-05-26 09:18:36.150806, last 2026-08-14 08:47:11.845428",2026-05-26T09:18:36.150806
EVT00030,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'MoAppCrash' for MicrosoftWindows, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of MoAppCrash for 'MicrosoftWindows'; first 2026-08-03 03:56:50.949270, last 2026-08-03 03:56:50.949270",2026-08-03T03:56:50.949270
EVT00031,device_01,app_stability,anomaly,75,"4 occurrences of the same crash bucket for the same process is unlikely to be coincidence, though below the 5x threshold for the highest tier",Recurring 'StoreAgentScanForUpdatesFailure0' for Update; (4x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"4 occurrence(s) of StoreAgentScanForUpdatesFailure0 for 'Update;'; first 2026-06-08 13:49:01.809434, last 2026-07-06 03:41:21.850870",2026-06-08T13:49:01.809434
EVT00032,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'APPCRASH' for TrGUI.exe, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of APPCRASH for 'TrGUI.exe'; first 2026-07-27 04:00:09.627408, last 2026-07-27 04:00:09.627408",2026-07-27T04:00:09.627408
EVT00033,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'MoAppHang' for Microsoft.Compan, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of MoAppHang for 'Microsoft.Compan'; first 2026-06-01 03:48:00.800336, last 2026-06-01 03:48:00.800336",2026-06-01T03:48:00.800336
EVT00034,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'MoAppHang' for windows.immersiv, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of MoAppHang for 'windows.immersiv'; first 2026-05-27 14:42:35.452072, last 2026-05-27 14:42:35.452072",2026-05-27T14:42:35.452072
EVT00035,device_01,app_stability,possible_anomaly,50,Only 2 occurrences — could be a repeating issue or could be two unrelated one-off events; not enough volume to be confident,Repeated 'WindowsWcpOtherFailure3' for 10.0.26100.8648 (2x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"2 occurrence(s) of WindowsWcpOtherFailure3 for '10.0.26100.8648'; first 2026-06-17 04:58:27.486240, last 2026-07-22 05:44:47.032318",2026-06-17T04:58:27.486240
EVT00036,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'MoAppCrash' for AppUp.IntelArcSo, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of MoAppCrash for 'AppUp.IntelArcSo'; first 2026-08-07 12:52:01.014882, last 2026-08-07 12:52:01.014882",2026-08-07T12:52:01.014882
EVT00037,device_01,app_stability,possible_anomaly,50,Only 2 occurrences — could be a repeating issue or could be two unrelated one-off events; not enough volume to be confident,Repeated 'APPCRASH' for MsMpEng.exe (2x), Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"2 occurrence(s) of APPCRASH for 'MsMpEng.exe'; first 2026-08-18 08:41:37.224286, last 2026-08-18 09:35:17.104730",2026-08-18T08:41:37.224286
EVT00038,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'crashpad_log' for setup.exe, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of crashpad_log for 'setup.exe'; first 2026-05-31 05:51:01.910826, last 2026-05-31 05:51:01.910826",2026-05-31T05:51:01.910826
EVT00039,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'WinPBRDiag' for 1, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of WinPBRDiag for '1'; first 2026-05-23 17:38:54.153704, last 2026-05-23 17:38:54.153704",2026-05-23T17:38:54.153704
EVT00040,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'AppHangB1' for powershell.exe, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of AppHangB1 for 'powershell.exe'; first 2026-08-18 13:34:57.962126, last 2026-08-18 13:34:57.962126",2026-08-18T13:34:57.962126
EVT00041,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'WUDFVerifierFailure' for VerifierFailure, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of WUDFVerifierFailure for 'VerifierFailure'; first 2026-06-19 14:46:48.268088, last 2026-06-19 14:46:48.268088",2026-06-19T14:46:48.268088
EVT00042,device_01,app_stability,not_anomaly,55,A single crash/hang event is common background noise on any Windows machine and is not itself evidence of a systemic problem,Single 'CLR20r3' for BtSystem.Service, Device_1_-_Full_logs/Collection_20260819_143345/15_CrashDumps_WER,"1 occurrence(s) of CLR20r3 for 'BtSystem.Service'; first 2026-08-07 12:52:57.588804, last 2026-08-07 12:52:57.588804",2026-08-07T12:52:57.588804
EVT00066,device_04,app_stability,anomaly,90,"12 recurring occurrences of the identical crash bucket is a clear repeating pattern, not noise",Recurring 'StoreAgentScanForUpdatesFailure0' for Update; (12x), Device_4_-_Full_logs/Collection_20260901_184344/15_CrashDumps_WER,"12 occurrence(s) of StoreAgentScanForUpdatesFailure0 for 'Update;'; first 2026-07-14 04:15:11.996350, last 2026-09-01 10:50:31.964404",2026-07-14T04:15:11.996350
EVT00067,device_04,app_stability,anomaly,90,"18 recurring occurrences of the identical crash bucket is a clear repeating pattern, not noise",Recurring 'StoreAgentInstallFailure1' for Update;MoUpdateO (18x), Device_4_-_Full_logs/Collection_20260901_184344/15_CrashDumps_WER,"18 occurrence(s) of StoreAgentInstallFailure1 for 'Update;MoUpdateO'; first 2026-07-15 08:27:39.476216, last 2026-08-25 09:00:12.314350",2026-07-15T08:27:39.476216
EVT00068,device_04,app_stability,anomaly,90,"12 recurring occurrences of the identical crash bucket is a clear repeating pattern, not noise",Recurring 'crashpad_log' for MicrosoftEdgeUpd (12x), Device_4_-_Full_logs/Collection_20260901_184344/15_CrashDumps_WER,"12 occurrence(s) of crashpad_log for 'MicrosoftEdgeUpd'; first 2026-07-13 18:15:28.457498, last 2026-08-20 07:37:32.222704",2026-07-13T18:15:28.457498
