"Phase","ScriptFile","Status","ItemsNote","ErrorMessage","DurationSec","StartedAt"
"SystemInfo","09_SystemInfo.ps1","Success","System, BIOS, OS, driver & OEM software info collected","","30.3","2026-08-19T14:33:45"
"WindowsUpdates","03_WindowsUpdates.ps1","Success","KB history, pending updates, OS version collected","","31.8","2026-08-19T14:34:15"
"HardwareDevices","04_HardwareDevices.ps1","Success","Device manager inventory + driver versions + error codes collected","","17.7","2026-08-19T14:34:47"
"DiskInfo","05_DiskInfo.ps1","Success","Disk size/free space/health/SMART/errors collected","","1.9","2026-08-19T14:35:05"
"MemoryInfo","06_MemoryInfo.ps1","Partial","Some memory sub-items unavailable (may just mean no errors found)","WHEA memory errors (none found or access issue): No events were found that match the specified selection criteria. | Memory diagnostic results none present, not run before: No events were found that match the specified selection criteria.","1.2","2026-08-19T14:35:07"
"CpuInfo","07_CpuInfo.ps1","Partial","Temperature sensor often blocked by OEM firmware - see README in output folder","WHEA CPU errors (none found or access issue): No events were found that match the specified selection criteria. | ACPI thermal zone not exposed by this OEM/BIOS (common on laptops)","2.9","2026-08-19T14:35:08"
"ReliabilityMonitor","09_ReliabilityMonitor.ps1","Success","Reliability Monitor history + daily stability index collected","","27.8","2026-08-19T14:35:11"
"BatteryHealth","10_BatteryHealth.ps1","Success","Battery health report (design vs full charge capacity), status, AC/DC state collected","","1","2026-08-19T14:35:38"
"StartupApps","11_StartupApps.ps1","Success","Startup programs + scheduled tasks collected","","3.9","2026-08-19T14:35:39"
"NetworkInfo","12_NetworkInfo.ps1","Success","Adapters, WiFi/LAN status, IP config, throughput sample collected","","35.8","2026-08-19T14:35:43"
"InstalledApps","14_InstalledApps.ps1","Success","Installed apps (Win32 registry, MSI, and UWP/Store) with version+install date collected","","15.9","2026-08-19T14:36:19"
"AppLogs","13_AppLogs.ps1","Success","1 app log sources copied. See _AppLogCollection_Summary.txt","","0.4","2026-08-19T14:36:35"
"CrashDumps_WER","15_CrashDumps.ps1","Success","93 WER crash reports copied, minidumps inventoried","","1.2","2026-08-19T14:36:36"
"EventLogs","02_EventLogs.ps1","Success","166/166 event logs exported (raw .evtx + readable CSV)","","1990.9","2026-08-19T14:36:37"
"ServicesProcessesSnapshot","16_ServicesSnapshot.ps1","Success","Services + process snapshot + persistent crash/hang & SCM history collected","","4","2026-08-19T15:09:48"
"Timeline_And_Resources (LIVE 30 min capture)","01_TimelineAndResources.ps1","Success","141 samples, 0 proc events, 0 file events, 0 crash/hang events","","1812.1","2026-08-19T15:09:52"
